id;CityName;Latitude;Longitude;CountryCode;Population
3039163;Sant Julià de Lòria;42.46372;1.49129;AD;8022
3039678;Ordino;42.55623;1.53319;AD;3066
3040051;les Escaldes;42.50729;1.53414;AD;15853
3040132;la Massana;42.54499;1.51483;AD;7211
3040686;Encamp;42.53474;1.58014;AD;11223
3041204;Canillo;42.5676;1.59756;AD;3292
3041563;Andorra la Vella;42.50779;1.52109;AD;20430
290594;Umm Al Quwain City;25.56473;55.55517;AE;62747
291074;Ras Al Khaimah City;25.78953;55.9432;AE;351943
291279;Muzayri‘;23.14355;53.7881;AE;10000
291580;Zayed City;23.65416;53.70522;AE;63482
291696;Khawr Fakkān;25.33132;56.34199;AE;40677
292223;Dubai;25.07725;55.30927;AE;2956587
292231;Dibba Al-Fujairah;25.59246;56.26176;AE;30000
292239;Dibba Al-Hisn;25.61955;56.27291;AE;26395
292672;Sharjah;25.33737;55.41206;AE;1324473
292688;Ar Ruways;24.11028;52.73056;AE;16000
292878;Al Fujairah City;25.11641;56.34141;AE;86512
292913;Al Ain City;24.19167;55.76056;AE;55091
292932;Ajman City;25.40177;55.47878;AE;490035
292953;Adh Dhayd;25.28812;55.88157;AE;24716
292968;Abu Dhabi;24.45118;54.39696;AE;603492
12042052;Bani Yas City;24.30978;54.62944;AE;80498
12042053;Musaffah;24.35893;54.48267;AE;243341
12047416;Al Shamkhah City;24.39268;54.70779;AE;61710
12047417;Reef Al Fujairah City;25.14479;56.24764;AE;82310
1120483;Kuhsān;34.65389;61.19778;AF;12087
1120487;Tukzār;35.94831;66.42132;AF;12021
1120711;Zindah Jān;34.34264;61.74675;AF;10104
1120863;Zarghūn Shahr;32.84734;68.44573;AF;13737
1120879;Zaṟah Sharan;33.14641;68.79213;AF;7366
1120985;Zaranj;30.95962;61.86037;AF;49851
1121271;Yangī Qal‘ah;37.46572;69.61131;AF;6541
1122408;Tīr Pul;34.59431;61.26895;AF;6979
1122747;Tarinkot;32.62998;65.87806;AF;10000
1123004;Taloqan;36.73605;69.53451;AF;64256
1123343;Tagāw-Bāy;35.69941;66.06164;AF;9096
1123424;Tagāb;34.85501;69.64917;AF;6400
1125155;Shīnḏanḏ;33.30294;62.1474;AF;29264
1125444;Shibirghān;36.66757;65.7529;AF;55641
1125896;Shahrak;34.10737;64.3052;AF;15967
1126606;Sidqābād;35.02298;69.35112;AF;7407
1127110;Sar-e Pul;36.21544;65.93249;AF;52121
1127547;Sangīn;32.07275;64.8359;AF;13579
1127628;Sang-e Chārak;35.84972;66.43694;AF;15377
1127768;Aībak;36.26468;68.01551;AF;47823
1128239;Rūdbār;30.15;62.6;AF;11034
1128265;Rustāq;37.12604;69.83045;AF;25636
1129516;Qarqīn;37.41853;66.04358;AF;15018
1129636;Qarchī Gak;37.03999;66.78891;AF;8942
1129648;Qarāwul;37.21959;68.7802;AF;24544
1129678;Qarah Bāgh;34.94023;61.77589;AF;12412
1129867;Qala i Naw;34.98735;63.12891;AF;9000
1130065;Qal‘ah-ye Shahr;35.54729;65.5676;AF;7756
1130131;Qalāt;32.10575;66.90833;AF;12191
1130469;Pārūn;35.42064;70.92261;AF;1000
1130490;Pul-e Khumrī;35.94458;68.71512;AF;56369
1130497;Pul-e ‘Alam;33.99529;69.02274;AF;13247
1131162;Panjāb;34.38795;67.02327;AF;13471
1131316;Paghmān;34.58787;68.95091;AF;49157
1131462;Uruzgān;32.92775;66.63253;AF;13388
1131833;Nīlī;33.72178;66.13023;AF;0
1132495;Nahrīn;36.0649;69.13343;AF;22363
1133270;Mīr Bachah Kōṯ;34.74999;69.11899;AF;5405
1133310;Mīrābād;30.43624;61.8383;AF;14160
1133453;Maymana;35.92139;64.78361;AF;75900
1133574;Mehtar Lām;34.67139;70.20944;AF;17345
1133616;Mazār-e Sharīf;36.70904;67.11087;AF;303282
1134720;Lashkar Gāh;31.59382;64.37161;AF;43934
1134762;Larkird;35.48936;66.66409;AF;11635
1135158;Kushk;33.29565;61.95221;AF;16952
1135689;Kunduz;36.72895;68.857;AF;161902
1136469;Khōst;33.33951;69.92041;AF;96123
1136575;Khulm;36.69736;67.69826;AF;64933
1136863;Khāsh;31.52919;62.79055;AF;15133
1137148;Khandūd;36.95127;72.318;AF;5521
1137168;Khanabad;36.6825;69.11556;AF;71531
1137807;Karukh;34.48108;62.5863;AF;17484
1138336;Kandahār;31.61332;65.71013;AF;391190
1138958;Kabul;34.52813;69.17233;AF;3043532
1139085;Jurm;36.86477;70.83421;AF;12106
1139715;Jalālābād;34.42647;70.45153;AF;200331
1139807;Jabal os Saraj;35.11833;69.23778;AF;15032
1140026;Herāt;34.34817;62.19967;AF;272806
1141089;Ghormach;35.73062;63.78264;AF;30000
1141269;Ghazni;33.55391;68.42096;AF;141000
1141540;Gereshk;31.82089;64.57005;AF;43588
1141857;Gardez;33.59744;69.22592;AF;103601
1142170;Fayzabad;37.11664;70.58002;AF;44421
1142239;Farkhār;36.57288;69.85783;AF;10480
1142264;Farah;32.37451;62.11638;AF;43561
1142404;Kafir Qala;34.66667;61.06667;AF;18086
1142545;Imām Şāḩib;37.18897;68.93644;AF;9659
1143838;Dasht-e Archī;37.13333;69.16667;AF;8263
1143874;Darzāb;35.97744;65.37828;AF;9642
1143901;Markaz-e Ḩukūmat-e Darwēshān;31.13231;64.1934;AF;9012
1144942;Chīras;35.41674;65.98234;AF;12779
1145352;Charikar;35.01361;69.17139;AF;53676
1145866;Chahār Burj;34.24475;62.19165;AF;11935
1145904;Fayrōz Kōh;34.51952;65.25093;AF;15000
1146822;Bāsawul;34.24749;70.87218;AF;6835
1147066;Baraki Barak;33.96744;68.9492;AF;22305
1147242;Bāmyān;34.82156;67.82734;AF;61863
1147290;Balkh;36.75635;66.8972;AF;114883
1147540;Baghlān;36.13068;68.70829;AF;108449
1147851;Ḩukūmatī Azrah;34.17355;69.64573;AF;12526
1148106;Ārt Khwājah;37.08571;69.47958;AF;18623
1148205;Āsmār;35.03333;71.35809;AF;15708
1148268;Ashkāsham;36.68333;71.53333;AF;12120
1148311;Asadābād;34.87311;71.14697;AF;48400
1148658;Andkhōy;36.95293;65.12376;AF;29208
1148709;Anār Darah;32.7587;61.65397;AF;10023
1149052;‘Alāqahdārī Dīshū;30.43206;63.29802;AF;9196
1429434;Bāzārak;35.31292;69.51519;AF;65000
1456960;Maydanshakhr;34.39561;68.86618;AF;1600
1469706;Markaz-e Woluswalī-ye Āchīn;34.12583;70.70778;AF;15098
8534261;Sharan;33.17568;68.73045;AF;2200
3576022;Saint John’s;17.12096;-61.84329;AG;24226
3576057;Piggotts;17.11667;-61.8;AG;1878
3576074;Parham;17.09682;-61.77046;AG;969
3576260;Falmouth;17.02741;-61.78136;AG;619
3576311;Codrington;17.63333;-61.83333;AG;1325
3576361;Bolands;17.06565;-61.87466;AG;1657
3573364;West End Village;18.17191;-63.14941;AI;0
3573374;The Valley;18.21704;-63.05783;AI;2035
3573375;The Quarter;18.20799;-63.04178;AI;0
3573378;Farrington;18.215;-63.02238;AI;0
3573380;Stoney Ground;18.22026;-63.04607;AI;0
3573385;South Hill Village;18.19201;-63.08779;AI;0
3573407;Sandy Ground Village;18.20118;-63.08998;AI;274
3573418;North Side;18.22919;-63.04401;AI;0
3573420;North Hill Village;18.20542;-63.07847;AI;0
3573456;Island Harbour;18.25601;-63.0102;AI;0
3573466;George Hill;18.19939;-63.0665;AI;0
3573473;East End Village;18.23333;-63;AI;0
3573496;Blowing Point Village;18.17648;-63.09375;AI;942
11205445;Sandy Hill;18.22104;-63.01329;AI;0
363243;Sarandë;39.87534;20.00477;AL;15147
781443;Tepelenë;40.29583;20.01917;AL;11955
781979;Poliçan;40.61222;20.09806;AL;10663
781988;Pogradec;40.9025;20.6525;AL;61530
782061;Peshkopi;41.685;20.42889;AL;14848
782070;Përmet;40.23361;20.35167;AL;10686
782661;Kukës;42.07694;20.42194;AL;17832
782756;Korçë;40.61861;20.78083;AL;58259
783059;Gramsh;40.86972;20.18444;AL;11556
783148;Gjirokastër;40.07583;20.13889;AL;23437
783259;Ersekë;40.33778;20.67889;AL;7890
783263;Elbasan;41.1125;20.08222;AL;100903
783408;Çorovodë;40.50417;20.22722;AL;14046
783493;Burrel;41.61028;20.00889;AL;15405
783508;Bulqizë;41.49167;20.22194;AL;11212
783606;Bilisht;40.6275;20.99;AL;7114
832209;Librazhd-Qendër;41.19694;20.33556;AL;12691
3183719;Vlorë;40.4686;19.48318;AL;89546
3183875;Tirana;41.3275;19.81889;AL;374801
3184081;Shkodër;42.06828;19.51258;AL;88245
3184099;Shijak;41.34556;19.56722;AL;14138
3184197;Selenicë;40.53056;19.63583;AL;6912
3184252;Rrogozhinë;41.07639;19.66528;AL;5620
3184264;Rrëshen;41.7675;19.87556;AL;10064
3184290;Roskovec;40.7375;19.70222;AL;6657
3184388;Pukë;42.04444;19.89972;AL;6495
3184497;Peqin;41.04611;19.75111;AL;7513
3184517;Patos Fshat;40.64278;19.65083;AL;22679
3184518;Patos;40.68333;19.61944;AL;60000
3184806;Mamurras;41.5775;19.69222;AL;8282
3184862;Lushnjë;40.94194;19.705;AL;41469
3184935;Lezhë;41.78361;19.64361;AL;18695
3185012;Laç;41.63556;19.71306;AL;24825
3185060;Kuçovë;40.80028;19.91667;AL;18166
3185082;Krujë;41.50917;19.79278;AL;21286
3185211;Kavajë;41.18556;19.55694;AL;29354
3185270;Kamëz;41.38167;19.76028;AL;11026
3185638;Fushë-Krujë;41.47833;19.71778;AL;10458
3185670;Fier-Çifçi;40.71667;19.56667;AL;60995
3185672;Fier;40.72389;19.55611;AL;56297
3185728;Durrës;41.32355;19.45469;AL;122034
3185897;Cërrik;41.03167;19.97583;AL;14269
3186084;Berat;40.70583;19.95222;AL;46866
3186145;Ballsh;40.59889;19.73472;AL;10361
174710;Yeghegnadzor;39.76389;45.33239;AM;8200
174725;Vedi;39.91388;44.7251;AM;12192
174726;Vayk’;39.6889;45.46668;AM;5419
174875;Kapan;39.20755;46.40576;AM;33160
174895;Goris;39.51111;46.34168;AM;20379
