ANNEE_NAISSANCE;MNAISS;CODCOM;LBCOM;SEXE;PRN;NBR
2008;;35238;RENNES;FEMME;Emma;50
2008;;35238;RENNES;FEMME;Jade;48
2008;;35238;RENNES;FEMME;Manon;41
2008;;35238;RENNES;FEMME;Romane;39
2008;;35238;RENNES;FEMME;Camille;37
2008;;35238;RENNES;FEMME;Inès;32
2008;;35238;RENNES;FEMME;Louise;32
2008;;35238;RENNES;FEMME;Chloé;30
2008;;35238;RENNES;FEMME;Jeanne;30
2008;;35238;RENNES;FEMME;Léa;29
2008;;35238;RENNES;FEMME;Louna;26
2008;;35238;RENNES;FEMME;Zoé;26
2008;;35238;RENNES;FEMME;Anaïs;25
2008;;35238;RENNES;FEMME;Lucie;24
2008;;35238;RENNES;FEMME;Clémence;23
2008;;35238;RENNES;FEMME;Margot;23
2008;;35238;RENNES;FEMME;Sarah;23
2008;;35238;RENNES;FEMME;Charlotte;21
2008;;35238;RENNES;FEMME;Juliette;21
2008;;35238;RENNES;FEMME;Lilou;21
2008;;35238;RENNES;FEMME;Marie;21
2008;;35238;RENNES;FEMME;Clara;19
2008;;35238;RENNES;FEMME;Lola;19
2008;;35238;RENNES;FEMME;Adèle;18
2008;;35238;RENNES;FEMME;Eva;18
2008;;35238;RENNES;FEMME;Lou;17
2008;;35238;RENNES;FEMME;Maëlys;17
2008;;35238;RENNES;FEMME;Margaux;17
2008;;35238;RENNES;FEMME;Océane;17
2008;;35238;RENNES;FEMME;Rose;17
2008;;35238;RENNES;FEMME;Mathilde;16
2008;;35238;RENNES;FEMME;Enora;15
2008;;35238;RENNES;FEMME;Lisa;15
2008;;35238;RENNES;FEMME;Pauline;15
2008;;35238;RENNES;FEMME;Léna;13
2008;;35238;RENNES;FEMME;Lily;13
2008;;35238;RENNES;FEMME;Ambre;12
2008;;35238;RENNES;FEMME;Elise;12
2008;;35238;RENNES;FEMME;Maïwenn;12
2008;;35238;RENNES;FEMME;Alice;11
2008;;35238;RENNES;FEMME;Amandine;11
2008;;35238;RENNES;FEMME;Faustine;11
2008;;35238;RENNES;FEMME;Julie;11
2008;;35238;RENNES;FEMME;Lina;11
2008;;35238;RENNES;FEMME;Anaëlle;10
2008;;35238;RENNES;FEMME;Anna;10
2008;;35238;RENNES;FEMME;Axelle;10
2008;;35238;RENNES;FEMME;Candice;10
2008;;35238;RENNES;FEMME;Laura;10
2008;;35238;RENNES;FEMME;Léonie;10
2008;;35238;RENNES;FEMME;Luna;10
2008;;35238;RENNES;FEMME;Noémie;10
2008;;35238;RENNES;FEMME;Norah;10
2008;;35238;RENNES;FEMME;Anouk;9
2008;;35238;RENNES;FEMME;Garance;9
2008;;35238;RENNES;FEMME;Joséphine;9
2008;;35238;RENNES;FEMME;Lise;9
2008;;35238;RENNES;FEMME;Maëline;9
2008;;35238;RENNES;FEMME;Maëlle;9
2008;;35238;RENNES;FEMME;Morgane;9
2008;;35238;RENNES;FEMME;Angèle;8
2008;;35238;RENNES;FEMME;Célia;8
2008;;35238;RENNES;FEMME;Eléa;8
2008;;35238;RENNES;FEMME;Elisa;8
2008;;35238;RENNES;FEMME;Héloïse;8
2008;;35238;RENNES;FEMME;Lila;8
2008;;35238;RENNES;FEMME;Loane;8
2008;;35238;RENNES;FEMME;Louane;8
2008;;35238;RENNES;FEMME;Salomé;8
2008;;35238;RENNES;FEMME;Zélie;8
2008;;35238;RENNES;FEMME;Alicia;7
2008;;35238;RENNES;FEMME;Apolline;7
2008;;35238;RENNES;FEMME;Cléo;7
2008;;35238;RENNES;FEMME;Eline;7
2008;;35238;RENNES;FEMME;Elsa;7
2008;;35238;RENNES;FEMME;Fanny;7
2008;;35238;RENNES;FEMME;Justine;7
2008;;35238;RENNES;FEMME;Louann;7
2008;;35238;RENNES;FEMME;Lucile;7
2008;;35238;RENNES;FEMME;Mélissa;7
