ANNAISS;MNAISS;CODCOM;LBCOM;SEXE;PRN;NRB
2012;;35238;RENNES;FEMME;Louise;58
2012;;35238;RENNES;FEMME;Chloé;47
2012;;35238;RENNES;FEMME;Léa;44
2012;;35238;RENNES;FEMME;Inès;44
2012;;35238;RENNES;FEMME;Juliette;41
2012;;35238;RENNES;FEMME;Zoé;37
2012;;35238;RENNES;FEMME;Emma;36
2012;;35238;RENNES;FEMME;Romane;35
2012;;35238;RENNES;FEMME;Camille;35
2012;;35238;RENNES;FEMME;Manon;34
2012;;35238;RENNES;FEMME;Léna;31
2012;;35238;RENNES;FEMME;Jeanne;30
2012;;35238;RENNES;FEMME;Alice;30
2012;;35238;RENNES;FEMME;Louna;29
2012;;35238;RENNES;FEMME;Adèle;29
2012;;35238;RENNES;FEMME;Sarah;25
2012;;35238;RENNES;FEMME;Lola;25
2012;;35238;RENNES;FEMME;Anna;24
2012;;35238;RENNES;FEMME;Ambre;24
2012;;35238;RENNES;FEMME;Pauline;22
2012;;35238;RENNES;FEMME;Lina;22
2012;;35238;RENNES;FEMME;Jade;21
2012;;35238;RENNES;FEMME;Margot;19
2012;;35238;RENNES;FEMME;Léonie;19
2012;;35238;RENNES;FEMME;Lisa;19
2012;;35238;RENNES;FEMME;Clara;19
2012;;35238;RENNES;FEMME;Charlotte;19
2012;;35238;RENNES;FEMME;Nina;18
2012;;35238;RENNES;FEMME;Margaux;18
2012;;35238;RENNES;FEMME;Enora;18
2012;;35238;RENNES;FEMME;Rose;17
2012;;35238;RENNES;FEMME;Maëlys;17
2012;;35238;RENNES;FEMME;Julia;17
2012;;35238;RENNES;FEMME;Anaïs;17
2012;;35238;RENNES;FEMME;Yuna;16
2012;;35238;RENNES;FEMME;Lou;16
2012;;35238;RENNES;FEMME;Justine;16
2012;;35238;RENNES;FEMME;Lilou;16
2012;;35238;RENNES;FEMME;Clémence;16
2012;;35238;RENNES;FEMME;Océane;15
2012;;35238;RENNES;FEMME;Youna;15
2012;;35238;RENNES;FEMME;Mathilde;15
2012;;35238;RENNES;FEMME;Mila;15
2012;;35238;RENNES;FEMME;Eva;15
2012;;35238;RENNES;FEMME;Alicia;15
2012;;35238;RENNES;FEMME;Salomé;14
2012;;35238;RENNES;FEMME;Marie;14
2012;;35238;RENNES;FEMME;Capucine;14
2012;;35238;RENNES;FEMME;Maïwenn;13
2012;;35238;RENNES;FEMME;Lucie;13
2012;;35238;RENNES;FEMME;Agathe;13
2012;;35238;RENNES;FEMME;Noémie;12
2012;;35238;RENNES;FEMME;Lily;12
2012;;35238;RENNES;FEMME;Héloïse;12
2012;;35238;RENNES;FEMME;Candice;12
2012;;35238;RENNES;FEMME;Anouk;12
2012;;35238;RENNES;FEMME;Suzanne;11
2012;;35238;RENNES;FEMME;Sara;11
2012;;35238;RENNES;FEMME;Inaya;11
2012;;35238;RENNES;FEMME;Eloïse;11
2012;;35238;RENNES;FEMME;Coline;11
2012;;35238;RENNES;FEMME;Ninon;10
2012;;35238;RENNES;FEMME;Soline;10
2012;;35238;RENNES;FEMME;Olivia;10
2012;;35238;RENNES;FEMME;Maëlle;10
2012;;35238;RENNES;FEMME;Louane;10
2012;;35238;RENNES;FEMME;Eloane;10
2012;;35238;RENNES;FEMME;Garance;10
2012;;35238;RENNES;FEMME;Albane;10
2012;;35238;RENNES;FEMME;Thaïs;9
2012;;35238;RENNES;FEMME;Lou-Ann;9
2012;;35238;RENNES;FEMME;Maëline;9
2012;;35238;RENNES;FEMME;Léane;9
2012;;35238;RENNES;FEMME;Emmy;9
2012;;35238;RENNES;FEMME;Célia;9
2012;;35238;RENNES;FEMME;Elise;9
2012;;35238;RENNES;FEMME;Apolline;9
2012;;35238;RENNES;FEMME;Rosalie;8
2012;;35238;RENNES;FEMME;Victoire;8
2012;;35238;RENNES;FEMME;Sofia;8
2012;;35238;RENNES;FEMME;Zélie;8
2012;;35238;RENNES;FEMME;Léana;8
2012;;35238;RENNES;FEMME;Naomie;8
2012;;35238;RENNES;FEMME;Lila;8
2012;;35238;RENNES;FEMME;Lise;8
2012;;35238;RENNES;FEMME;Faustine;8
2012;;35238;RENNES;FEMME;Lilwenn;8
2012;;35238;RENNES;FEMME;Emilie;8
2012;;35238;RENNES;FEMME;Julie;8
2012;;35238;RENNES;FEMME;Amandine;8
2012;;35238;RENNES;FEMME;Anaëlle;8
2012;;35238;RENNES;FEMME;Alyssa;8
2012;;35238;RENNES;FEMME;Aya;8
2012;;35238;RENNES;FEMME;Elisa;8
2012;;35238;RENNES;FEMME;Romy;7
2012;;35238;RENNES;FEMME;Roxane;7
2012;;35238;RENNES;FEMME;Maïa;7
2012;;35238;RENNES;FEMME;Méline;7
2012;;35238;RENNES;FEMME;Louisa;7
2012;;35238;RENNES;FEMME;Lana;7
2012;;35238;RENNES;FEMME;Elsa;7
2012;;35238;RENNES;FEMME;Eugénie;7
2012;;35238;RENNES;FEMME;Anaé;7
2012;;35238;RENNES;FEMME;Clémentine;7
2012;;35238;RENNES;FEMME;Charlie;7
2012;;35238;RENNES;FEMME;Charline;7
2012;;35238;RENNES;FEMME;Aziliz;7
2012;;35238;RENNES;FEMME;Victoria;6
2012;;35238;RENNES;FEMME;Norah;6
2012;;35238;RENNES;FEMME;Yasmine;6
2012;;35238;RENNES;FEMME;Nora;6
2012;;35238;RENNES;FEMME;Lison;6
2012;;35238;RENNES;FEMME;Naomi;6
2012;;35238;RENNES;FEMME;Lyna;6
2012;;35238;RENNES;FEMME;Gabrielle;6
2012;;35238;RENNES;FEMME;Estelle;6
2012;;35238;RENNES;FEMME;Line;6
2012;;35238;RENNES;FEMME;Flora;6
2012;;35238;RENNES;FEMME;Lilas;6
2012;;35238;RENNES;FEMME;Leïla;6
2012;;35238;RENNES;FEMME;Hortense;6
2012;;35238;RENNES;FEMME;Eléonore;6
2012;;35238;RENNES;FEMME;Elyna;6
2012;;35238;RENNES;FEMME;Constance;6
2012;;35238;RENNES;FEMME;Eline;6
2012;;35238;RENNES;FEMME;Domitille;6
2012;;35238;RENNES;FEMME;Ellie;6
2012;;35238;RENNES;FEMME;Rozenn;5
2012;;35238;RENNES;FEMME;Orlane;5
2012;;35238;RENNES;FEMME;Lyla;5
2012;;35238;RENNES;FEMME;Mya;5
2012;;35238;RENNES;FEMME;Lylou;5
2012;;35238;RENNES;FEMME;Mélina;5
2012;;35238;RENNES;FEMME;Manel;5
2012;;35238;RENNES;FEMME;Maïssa;5
2012;;35238;RENNES;FEMME;Lyana;5
2012;;35238;RENNES;FEMME;Lou-Anne;5
2012;;35238;RENNES;FEMME;Lilwen;5
2012;;35238;RENNES;FEMME;Ilyana;5
2012;;35238;RENNES;FEMME;Laura;5
2012;;35238;RENNES;FEMME;Lily-Rose;5
2012;;35238;RENNES;FEMME;Alix;5
2012;;35238;RENNES;FEMME;Aliya;5
2012;;35238;RENNES;FEMME;Elena;5
2012;;35238;RENNES;FEMME;Daphné;5
2012;;35238;RENNES;FEMME;Angèle;5
2012;;35238;RENNES;FEMME;Colette;5
2012;;35238;RENNES;FEMME;Eden;5
2012;;35238;RENNES;FEMME;Blanche;5
2012;;35238;RENNES;FEMME;Tess;4
2012;;35238;RENNES;FEMME;Sophia;4
2012;;35238;RENNES;FEMME;Yaël;4
2012;;35238;RENNES;FEMME;Sophie;4
2012;;35238;RENNES;FEMME;Perrine;4
2012;;35238;RENNES;FEMME;Sana;4
2012;;35238;RENNES;FEMME;Sasha;4
2012;;35238;RENNES;FEMME;Louann;4
2012;;35238;RENNES;FEMME;Maëlie;4
2012;;35238;RENNES;FEMME;Maya;4
2012;;35238;RENNES;FEMME;Mariam;4
2012;;35238;RENNES;FEMME;Loane;4
2012;;35238;RENNES;FEMME;Marine;4
2012;;35238;RENNES;FEMME;Morgane;4
2012;;35238;RENNES;FEMME;Marion;4
2012;;35238;RENNES;FEMME;Lucile;4
2012;;35238;RENNES;FEMME;Fantine;4
2012;;35238;RENNES;FEMME;Eve;4
2012;;35238;RENNES;FEMME;Emeline;4
2012;;35238;RENNES;FEMME;Iris;4
2012;;35238;RENNES;FEMME;Leïa;4
2012;;35238;RENNES;FEMME;Eléna;4
2012;;35238;RENNES;FEMME;Lia;4
2012;;35238;RENNES;FEMME;Fatoumata;4
2012;;35238;RENNES;FEMME;June;4
2012;;35238;RENNES;FEMME;Elyne;4
2012;;35238;RENNES;FEMME;Leyla;4
2012;;35238;RENNES;FEMME;Leia;4
2012;;35238;RENNES;FEMME;Joséphine;4
2012;;35238;RENNES;FEMME;Lena;4
2012;;35238;RENNES;FEMME;Kenza;4
2012;;35238;RENNES;FEMME;Céleste;4
2012;;35238;RENNES;FEMME;Elina;4
2012;;35238;RENNES;FEMME;Eglantine;4
2012;;35238;RENNES;FEMME;Arwen;4
2012;;35238;RENNES;FEMME;Annaëlle;4
2012;;35238;RENNES;FEMME;Clarisse;4
2012;;35238;RENNES;FEMME;Bertille;4
2012;;35238;RENNES;FEMME;Awena;4
2012;;35238;RENNES;FEMME;Bérénice;4
2012;;35238;RENNES;FEMME;Cléo;4
2012;;35238;RENNES;FEMME;Amina;4
2012;;35238;RENNES;FEMME;Alwena;4
2012;;35238;RENNES;FEMME;Cassandra;4
2012;;35238;RENNES;FEMME;Alexia;4
2012;;35238;RENNES;FEMME;Thelma;3
2012;;35238;RENNES;FEMME;Paloma;3
2012;;35238;RENNES;FEMME;Noélie;3
2012;;35238;RENNES;FEMME;Salma;3
2012;;35238;RENNES;FEMME;Sélène;3
2012;;35238;RENNES;FEMME;Paola;3
2012;;35238;RENNES;FEMME;Violette;3
2012;;35238;RENNES;FEMME;Perle;3
2012;;35238;RENNES;FEMME;Pénélope;3
2012;;35238;RENNES;FEMME;Shana;3
2012;;35238;RENNES;FEMME;Suzie;3
2012;;35238;RENNES;FEMME;Shayna;3
2012;;35238;RENNES;FEMME;Tessa;3
2012;;35238;RENNES;FEMME;Shaïna;3
2012;;35238;RENNES;FEMME;Noëlla;3
2012;;35238;RENNES;FEMME;Sidonie;3
2012;;35238;RENNES;FEMME;Yaëlle;3
2012;;35238;RENNES;FEMME;Prune;3
2012;;35238;RENNES;FEMME;Zia;3
2012;;35238;RENNES;FEMME;Solène;3
2012;;35238;RENNES;FEMME;Soraya;3
2012;;35238;RENNES;FEMME;Maïra;3
2012;;35238;RENNES;FEMME;Miya;3
2012;;35238;RENNES;FEMME;Malou;3
2012;;35238;RENNES;FEMME;Louison;3
2012;;35238;RENNES;FEMME;Lénaïg;3
2012;;35238;RENNES;FEMME;Luce;3
2012;;35238;RENNES;FEMME;Louanne;3
2012;;35238;RENNES;FEMME;Mélissa;3
2012;;35238;RENNES;FEMME;Mayssa;3
2012;;35238;RENNES;FEMME;Livia;3
2012;;35238;RENNES;FEMME;Maëla;3
2012;;35238;RENNES;FEMME;Léopoldine;3
2012;;35238;RENNES;FEMME;Maïna;3
2012;;35238;RENNES;FEMME;Luana;3
2012;;35238;RENNES;FEMME;Lya;3
2012;;35238;RENNES;FEMME;Maria;3
2012;;35238;RENNES;FEMME;Maëly;3
2012;;35238;RENNES;FEMME;Madeleine;3
2012;;35238;RENNES;FEMME;Marie-Lou;3
2012;;35238;RENNES;FEMME;Laurine;3
2012;;35238;RENNES;FEMME;Elodie;3
2012;;35238;RENNES;FEMME;Fatima;3
2012;;35238;RENNES;FEMME;Hélène;3
2012;;35238;RENNES;FEMME;Laure;3
2012;;35238;RENNES;FEMME;Emmie;3
2012;;35238;RENNES;FEMME;Eléa;3
2012;;35238;RENNES;FEMME;Joanne;3
2012;;35238;RENNES;FEMME;Francisca;3
2012;;35238;RENNES;FEMME;Kiara;3
2012;;35238;RENNES;FEMME;Emy;3
2012;;35238;RENNES;FEMME;Farah;3
2012;;35238;RENNES;FEMME;Lilya;3
2012;;35238;RENNES;FEMME;Kélia;3
2012;;35238;RENNES;FEMME;Félicie;3
2012;;35238;RENNES;FEMME;Lili;3
2012;;35238;RENNES;FEMME;Lilie;3
2012;;35238;RENNES;FEMME;Izia;3
2012;;35238;RENNES;FEMME;Asma;3
2012;;35238;RENNES;FEMME;Elia;3
2012;;35238;RENNES;FEMME;Eileen;3
2012;;35238;RENNES;FEMME;Azra;3
2012;;35238;RENNES;FEMME;Aliénor;3
2012;;35238;RENNES;FEMME;Amira;3
2012;;35238;RENNES;FEMME;Cléa;3
2012;;35238;RENNES;FEMME;Célestine;3
2012;;35238;RENNES;FEMME;Aurore;3
2012;;35238;RENNES;FEMME;Cloé;3
2012;;35238;RENNES;FEMME;Amélie;3
2012;;35238;RENNES;FEMME;Alina;3
2012;;35238;RENNES;FEMME;Cassie;3
2012;;35238;RENNES;FEMME;Blandine;3
2012;;35238;RENNES;FEMME;Assia;3
2012;;35238;RENNES;FEMME;Bleuenn;3
2012;;35238;RENNES;FEMME;Aaliyah;3
2012;;35238;RENNES;FEMME;Thalia;2
2012;;35238;RENNES;FEMME;Nolwenn;2
2012;;35238;RENNES;FEMME;Ritej;2
2012;;35238;RENNES;FEMME;Paula;2
2012;;35238;RENNES;FEMME;Noéline;2
2012;;35238;RENNES;FEMME;Noëla;2
2012;;35238;RENNES;FEMME;Sixtine;2
2012;;35238;RENNES;FEMME;Rachel;2
2012;;35238;RENNES;FEMME;Philippine;2
2012;;35238;RENNES;FEMME;Éléa;2
2012;;35238;RENNES;FEMME;Ynès;2
2012;;35238;RENNES;FEMME;Stella;2
2012;;35238;RENNES;FEMME;Selena;2
2012;;35238;RENNES;FEMME;Stessy;2
2012;;35238;RENNES;FEMME;Rebecca;2
2012;;35238;RENNES;FEMME;Rania;2
2012;;35238;RENNES;FEMME;Tina;2
2012;;35238;RENNES;FEMME;Neïla;2
2012;;35238;RENNES;FEMME;Soane;2
2012;;35238;RENNES;FEMME;Sybille;2
