ANNAISS;CODCOM;LBCOM;SEXE;PRN;NRB
2015;35238;RENNES;FEMME;Louise;67
2015;35238;RENNES;FEMME;Emma;48
2015;35238;RENNES;FEMME;Chloé;46
2015;35238;RENNES;FEMME;Manon;43
2015;35238;RENNES;FEMME;Camille;40
2015;35238;RENNES;FEMME;Inès;39
2015;35238;RENNES;FEMME;Alice;36
2015;35238;RENNES;FEMME;Agathe;33
2015;35238;RENNES;FEMME;Juliette;33
2015;35238;RENNES;FEMME;Léna;32
2015;35238;RENNES;FEMME;Jade;30
2015;35238;RENNES;FEMME;Léa;30
2015;35238;RENNES;FEMME;Rose;30
2015;35238;RENNES;FEMME;Romane;28
2015;35238;RENNES;FEMME;Jeanne;26
2015;35238;RENNES;FEMME;Lola;26
2015;35238;RENNES;FEMME;Zoé;26
2015;35238;RENNES;FEMME;Adèle;25
2015;35238;RENNES;FEMME;Clémence;24
2015;35238;RENNES;FEMME;Julia;23
2015;35238;RENNES;FEMME;Sarah;22
2015;35238;RENNES;FEMME;Lou;21
2015;35238;RENNES;FEMME;Charlotte;20
2015;35238;RENNES;FEMME;Mila;20
2015;35238;RENNES;FEMME;Lina;19
2015;35238;RENNES;FEMME;Margaux;19
2015;35238;RENNES;FEMME;Maëlys;19
2015;35238;RENNES;FEMME;Eva;18
2015;35238;RENNES;FEMME;Louna;18
2015;35238;RENNES;FEMME;Suzanne;18
2015;35238;RENNES;FEMME;Ambre;17
2015;35238;RENNES;FEMME;Anna;17
2015;35238;RENNES;FEMME;Faustine;17
2015;35238;RENNES;FEMME;Lilou;17
2015;35238;RENNES;FEMME;Clara;16
2015;35238;RENNES;FEMME;Lucie;16
2015;35238;RENNES;FEMME;Margot;16
2015;35238;RENNES;FEMME;Soline;16
2015;35238;RENNES;FEMME;Elise;15
2015;35238;RENNES;FEMME;Enora;15
2015;35238;RENNES;FEMME;Nina;15
2015;35238;RENNES;FEMME;Capucine;14
2015;35238;RENNES;FEMME;Célia;14
2015;35238;RENNES;FEMME;Lise;14
2015;35238;RENNES;FEMME;Lison;14
2015;35238;RENNES;FEMME;Mia;14
2015;35238;RENNES;FEMME;Olivia;14
